latitude,longitude,depth,mag,magType,gap,dmin,rms,id,place,depthError,magError,magNst,year,month,time_seconds,country
23.661,96.0256,10.0,4.6,mb,64.0,1.676,0.61,us70006quh,"96 km NNW of Mogok, Myanmar",1.9,0.096,32.0,2019.0,12.0,1577257458.0,Myanmar
23.6551,94.0597,10.0,3.8,mb,117.0,0.612,1.06,us70006x2s,"35 km W of Mawlaik, Myanmar",2.0,0.511,1.0,2019.0,12.0,1577026771.0,Myanmar
34.6953,79.7421,10.0,4.5,mb,109.0,5.466,0.75,us70006nu2,"206 km ENE of Leh, India",1.9,0.093,34.0,2019.0,12.0,1576793780.0,India
32.4723,86.9509,10.0,4.9,mb,84.0,4.522,1.09,us70006nf9,western Xizang,1.8,0.052,116.0,2019.0,12.0,1576757275.0,western Xizang
33.5899,71.63,46.36,4.5,mb,91.0,1.368,0.69,us60006t6q,"16 km E of Kohat, Pakistan",6.3,0.081,52.0,2019.0,12.0,1576678157.0,Pakistan
8.5479,91.8576,10.0,4.2,mb,208.0,17.215,0.49,us70006tsa,"Nicobar Islands, India region",2.0,0.159,11.0,2019.0,12.0,1576476522.0,India region
24.0847,93.875,55.37,4.4,mb,91.0,0.414,0.6,us60006s03,"34 km SE of Chur?ch?ndpur, India",7.9,0.169,10.0,2019.0,12.0,1576465830.0,India
24.9171,95.0882,110.85,4.4,mb,117.0,0.991,1.02,us70006tmu,"101 km SE of Phek, India",7.9,0.148,13.0,2019.0,12.0,1576382013.0,India
20.0829,73.1729,10.0,4.3,mb,103.0,13.231,1.21,us60006rxd,"19 km NNW of Jawh?r, India",1.9,0.137,15.0,2019.0,12.0,1576281160.0,India
27.9194,85.7168,10.0,4.2,mb,147.0,0.969,1.18,us60006qji,"24 km W of Kod?ri??, Nepal",1.9,0.098,29.0,2019.0,12.0,1576157191.0,Nepal
12.2739,95.2155,10.0,4.4,mb,99.0,2.495,0.71,us60006pn9,"277 km ENE of Port Blair, India",1.8,0.127,18.0,2019.0,12.0,1575949906.0,India
19.9237,94.3299,66.45,4.1,mb,259.0,2.673,0.87,us60006r8u,"63 km WSW of Minbu, Myanmar",7.8,0.262,4.0,2019.0,12.0,1575689106.0,Myanmar
8.351,94.5307,186.14,5.0,mb,59.0,3.725,0.95,us70006fb6,"285 km NNW of Sabang, Indonesia",5.5,0.046,152.0,2019.0,12.0,1575309209.0,Indonesia
23.0905,93.6727,53.48,4.6,mb,63.0,0.451,0.77,us70006f4m,"19 km N of Falam, Myanmar",6.1,0.061,80.0,2019.0,12.0,1575249164.0,Myanmar
13.692,93.3959,49.27,4.9,mb,43.0,2.121,0.76,us70006ek4,"232 km NNE of Bamboo Flat, India",5.8,0.059,97.0,2019.0,11.0,1575049818.0,India
23.1791,96.0354,10.0,5.2,mww,62.0,1.903,0.72,us70006e6m,"56 km WNW of Mogok, Myanmar",1.8,0.083,14.0,2019.0,11.0,1574951953.0,Myanmar
30.4965,84.2884,15.1,4.6,mb,91.0,3.355,0.97,us70006e15,"158 km NW of Saga, China",4.2,0.084,42.0,2019.0,11.0,1574905204.0,China
27.7986,85.8214,10.0,4.6,mb,96.0,0.891,0.69,us70006dt0,"22 km SW of Kod?ri??, Nepal",1.8,0.068,65.0,2019.0,11.0,1574871811.0,Nepal
14.2308,93.0511,10.0,4.5,mb,76.0,2.577,0.57,us70006dps,"282 km N of Bamboo Flat, India",1.9,0.157,12.0,2019.0,11.0,1574849233.0,India
28.1658,87.8728,64.65,4.4,mb,105.0,0.96,0.58,us70006diu,"96 km NW of Mangan, India",6.5,0.075,52.0,2019.0,11.0,1574813912.0,India
19.2269,94.9378,60.78,5.3,mww,26.0,2.497,0.92,us70006d5e,"27 km WSW of Thayetmyo, Myanmar",4.3,0.068,21.0,2019.0,11.0,1574766357.0,Myanmar
19.2631,95.0235,76.48,4.7,mb,150.0,2.411,0.51,us70006d4y,"17 km WSW of Thayetmyo, Myanmar",6.9,0.079,48.0,2019.0,11.0,1574760972.0,Myanmar
24.155,94.3136,70.19,4.5,mb,102.0,0.075,0.7,us70006d1q,"50 km SE of Kakching, India",3.5,0.108,25.0,2019.0,11.0,1574740426.0,India
33.0186,92.6928,10.0,4.3,mb,118.0,3.566,0.75,us70006ej3,"181 km NNE of Nagqu, China",1.9,0.154,14.0,2019.0,11.0,1574610147.0,China
24.9318,96.3511,10.0,4.1,mb,117.0,1.993,0.63,us70006caj,"116 km WSW of Myitkyina, Myanmar",1.9,0.175,9.0,2019.0,11.0,1574549026.0,Myanmar
26.145,91.1372,48.16,4.3,mb,163.0,0.866,0.34,us70006b0f,"23 km SSE of Barpeta, India",9.0,0.147,13.0,2019.0,11.0,1574345469.0,India
10.9867,95.1124,10.0,4.6,mb,124.0,2.416,0.49,us70006aek,"269 km ESE of Port Blair, India",1.9,0.109,25.0,2019.0,11.0,1574258815.0,India
29.3228,81.1433,10.0,5.0,mww,33.0,5.163,0.63,us700069vd,"20 km ENE of Dipayal, Nepal",1.8,0.103,9.0,2019.0,11.0,1574170255.0,Nepal
30.8646,70.1184,10.0,4.4,mb,147.0,3.776,0.63,us70006dnj,"53 km WNW of Taunsa, Pakistan",1.9,0.239,5.0,2019.0,11.0,1574153798.0,Pakistan
23.5799,70.4585,10.0,4.6,mb,109.0,10.332,0.68,us70006d8k,"19 km W of R?par, India",1.7,0.125,19.0,2019.0,11.0,1574083868.0,India
11.2863,92.9571,53.39,5.1,mb,85.0,0.422,0.95,us7000699n,"47 km SSE of Port Blair, India",5.5,0.051,124.0,2019.0,11.0,1574031955.0,India
26.1728,93.3051,51.25,4.7,mb,70.0,1.438,0.65,us60006b1v,"38 km NNW of Diphu, India",7.5,0.093,35.0,2019.0,11.0,1573650654.0,India
30.0659,80.2927,10.0,4.3,mb,94.0,6.082,0.51,us60006ag4,"32 km NW of Dh?rchula, India",1.9,0.113,22.0,2019.0,11.0,1573524026.0,India
35.2589,88.9719,10.0,4.6,mb,70.0,7.507,0.85,us7000626i,western Xizang,1.8,0.076,52.0,2019.0,11.0,1572647774.0,western Xizang
30.5449,87.3847,10.44,4.0,mb,88.0,2.625,0.52,us6000638h,"203 km NW of Rikaze, China",4.4,0.113,21.0,2019.0,10.0,1572087249.0,China
19.2642,95.695,10.0,4.3,mwr,63.0,1.955,0.85,us70005x14,"51 km ESE of Myaydo, Myanmar",1.8,0.093,11.0,2019.0,10.0,1571707840.0,Myanmar
8.0497,94.395,172.3,4.8,mb,62.0,3.778,0.57,us70005x17,"259 km NNW of Sabang, Indonesia",6.6,0.08,48.0,2019.0,10.0,1571706370.0,Indonesia
33.4696,81.4093,10.0,4.0,mb,135.0,6.798,0.57,us70005wtf,western Xizang,1.9,0.144,13.0,2019.0,10.0,1571678795.0,western Xizang
22.5731,93.3104,45.24,4.3,mb,137.0,0.275,0.9,us600062aj,"31 km WSW of Hakha, Myanmar",7.7,0.266,4.0,2019.0,10.0,1571492136.0,Myanmar
23.1641,94.2177,76.27,4.9,mb,96.0,0.771,1.1,us70005vlj,"56 km SSW of Mawlaik, Myanmar",7.5,0.086,42.0,2019.0,10.0,1571417290.0,Myanmar
32.9796,73.5759,42.77,4.7,mb,120.0,0.717,0.94,us70005vdm,"15 km WNW of Jhelum, Pakistan",6.5,0.097,32.0,2019.0,10.0,1571394774.0,Pakistan
23.1646,94.2211,79.56,4.4,mb,91.0,0.773,1.38,us70005ur2,"56 km SSW of Mawlaik, Myanmar",8.1,0.11,24.0,2019.0,10.0,1571251542.0,Myanmar
33.0038,73.5064,10.0,3.3,mb,183.0,0.675,0.78,us70005twq,"22 km WNW of Jhelum, Pakistan",2.0,0.344,2.0,2019.0,10.0,1570988480.0,Pakistan
28.1573,73.1834,14.98,4.0,mb,146.0,5.476,0.56,us70005ttj,"20 km NW of B?kaner, India",6.5,0.183,8.0,2019.0,10.0,1570943193.0,India
13.3676,93.5713,63.94,4.4,mb,124.0,1.883,0.58,us70005vkd,"206 km NNE of Bamboo Flat, India",10.0,0.13,17.0,2019.0,10.0,1570863056.0,India
33.9956,72.5735,10.0,3.9,mb,161.0,0.673,1.04,us70005rvq,"9 km SSW of Topi, Pakistan",2.0,0.296,3.0,2019.0,10.0,1570520680.0,Pakistan
27.293,91.3145,10.0,4.7,mb,104.0,1.786,0.9,us70005rkb,"7 km ENE of Mongar, Bhutan",1.8,0.069,63.0,2019.0,10.0,1570451746.0,Bhutan
32.9078,73.6905,10.0,3.6,mb,184.0,0.82,0.4,us70005xep,"4 km SW of Jhelum, Pakistan",2.0,0.251,4.0,2019.0,10.0,1570339554.0,Pakistan
24.8695,94.1024,59.2,4.8,mb,50.0,0.662,0.63,us70005q55,"17 km ENE of Imph?l, India",7.0,0.071,61.0,2019.0,10.0,1570083883.0,India
10.9759,91.65,10.0,4.7,mb,114.0,1.267,0.77,us70005nfl,"141 km SW of Bamboo Flat, India",1.9,0.113,24.0,2019.0,9.0,1569747731.0,India
30.026,81.5319,10.0,4.4,mb,183.0,7.903,0.82,us70005s36,"45 km SE of Burang, China",2.0,0.268,4.0,2019.0,9.0,1569646707.0,China
10.9418,91.7174,10.0,4.2,mb,108.0,1.231,1.35,us70005s0k,"137 km SW of Bamboo Flat, India",1.9,0.167,10.0,2019.0,9.0,1569526320.0,India
10.8407,91.6606,10.0,4.7,mb,80.0,1.336,0.95,us70005lxa,"149 km SW of Bamboo Flat, India",1.9,0.083,44.0,2019.0,9.0,1569525333.0,India
28.0869,84.4371,10.0,4.4,mb,177.0,6.082,0.8,us70005lmv,"45 km N of Bharatpur, Nepal",1.9,0.101,28.0,2019.0,9.0,1569503061.0,Nepal
33.0481,73.6318,10.0,4.7,mb,101.0,0.673,1.12,us70005lie,"15 km NW of Jhelum, Pakistan",1.9,0.138,16.0,2019.0,9.0,1569481285.0,Pakistan
32.9807,73.6466,10.0,3.7,mb,178.0,0.739,1.07,us70005ky5,"9 km WNW of Jhelum, Pakistan",2.0,0.224,5.0,2019.0,9.0,1569373439.0,Pakistan
33.0904,73.7855,10.0,3.6,mb,180.0,0.706,0.72,us60005mye,"7 km SSE of New Mirpur, Pakistan",2.0,0.287,3.0,2019.0,9.0,1569346557.0,Pakistan
33.0779,73.7936,10.0,5.4,mww,21.0,0.72,0.87,us60005mqp,"8 km SSE of New Mirpur, Pakistan",1.7,0.11,8.0,2019.0,9.0,1569322914.0,Pakistan
29.4512,95.0638,10.0,4.3,mb,158.0,3.438,0.52,us60005m5l,"122 km NNE of Shi Yomi, India",1.9,0.133,16.0,2019.0,9.0,1569231386.0,India
28.4605,84.3309,18.23,4.5,mb,148.0,6.075,1.06,us70005nyj,"41 km ENE of Pokhara, Nepal",5.1,0.164,11.0,2019.0,9.0,1569169021.0,Nepal
24.2307,93.6361,63.66,4.4,mb,110.0,1.581,0.66,us60005lwz,"11 km SSW of Chur?ch?ndpur, India",8.9,0.139,15.0,2019.0,9.0,1569119484.0,India
14.0514,93.5854,35.0,4.0,mb,187.0,6.706,0.49,us60005mvl,"276 km NNE of Bamboo Flat, India",1.9,0.196,7.0,2019.0,9.0,1568659784.0,India
29.691,80.7419,10.0,4.5,mb,165.0,5.597,0.47,us70005h21,"24 km SE of D?rchul?, Nepal",1.8,0.151,13.0,2019.0,9.0,1568644405.0,Nepal
10.9512,91.8646,24.99,4.6,mb,115.0,1.11,0.65,us60005l0t,"Andaman Islands, India region",4.8,0.128,21.0,2019.0,9.0,1568216417.0,India region
16.2362,95.0235,10.0,4.6,mb,109.0,4.149,0.97,us70005ekb,"30 km WSW of Mawlamyinegyunn, Myanmar",1.9,0.119,21.0,2019.0,9.0,1568146724.0,Myanmar
32.9804,76.181,43.93,4.9,mb,61.0,2.528,0.6,us70005dl7,"43 km E of Bhadarw?h, India",6.7,0.042,177.0,2019.0,9.0,1568011233.0,India
33.0736,76.1758,10.0,4.8,mb,107.0,2.5,0.74,us70005dbm,"44 km ENE of Bhadarw?h, India",1.8,0.066,70.0,2019.0,9.0,1567910072.0,India
21.2484,94.7538,101.57,4.7,mb,35.0,1.752,0.8,us70005cqm,"35 km WSW of Pakokku, Myanmar",5.5,0.047,138.0,2019.0,9.0,1567764589.0,Myanmar
25.0899,95.0419,88.22,4.5,mb,66.0,1.09,0.84,us70005blu,"84 km SE of Phek, India",6.5,0.11,24.0,2019.0,9.0,1567538319.0,India
22.7414,95.522,10.0,5.4,mww,31.0,1.778,0.67,us70005alm,"26 km NW of Shwebo, Myanmar",1.8,0.062,25.0,2019.0,8.0,1567264161.0,Myanmar
8.3335,92.1961,10.0,4.3,mb,200.0,3.345,1.11,us70005bxw,"Nicobar Islands, India region",2.0,0.189,8.0,2019.0,8.0,1567077911.0,India region
13.092,93.2507,47.93,4.9,mww,67.0,1.511,0.69,us7000595a,"164 km NNE of Bamboo Flat, India",7.4,0.11,8.0,2019.0,8.0,1566999606.0,India
28.9012,86.4476,10.0,4.5,mb,88.0,0.992,1.18,us70005bgh,"111 km NNW of Lobujya, Nepal",1.9,0.094,33.0,2019.0,8.0,1566899871.0,Nepal
26.4642,96.1069,105.63,4.7,mb,48.0,2.76,0.68,us7000585z,"75 km WNW of Sarupathar, India",6.0,0.051,115.0,2019.0,8.0,1566787756.0,India
30.6928,87.8718,10.0,4.1,mb,90.0,2.877,0.37,us700059sn,"187 km NNW of Rikaze, China",1.9,0.135,15.0,2019.0,8.0,1566625808.0,China
8.5293,93.8713,65.3,4.2,mb,192.0,3.299,0.38,us700059q0,"Nicobar Islands, India region",9.5,0.175,9.0,2019.0,8.0,1566572099.0,India region
9.1171,93.5712,10.0,4.9,mb,154.0,2.65,0.77,us600057v8,"296 km SSE of Port Blair, India",1.9,0.084,45.0,2019.0,8.0,1566379152.0,India
30.4025,94.7951,10.0,4.6,mb,95.0,5.473,0.55,us600057at,"211 km NNE of Shi Yomi, India",1.9,0.06,83.0,2019.0,8.0,1566263333.0,India
33.759,86.9172,10.0,4.1,mb,109.0,5.782,0.42,us600057aq,western Xizang,2.0,0.15,12.0,2019.0,8.0,1566262547.0,western Xizang
24.0196,93.858,63.38,5.0,mb,43.0,1.391,0.78,us600056lz,"39 km SSE of Chur?ch?ndpur, India",3.8,0.046,151.0,2019.0,8.0,1566109714.0,India
18.3975,94.5477,35.0,4.8,mb,171.0,3.325,1.15,us600056kk,"82 km W of Myanaung, Myanmar",2.0,0.073,58.0,2019.0,8.0,1566099493.0,Myanmar
18.4733,94.5394,26.14,5.2,mww,27.0,3.277,0.88,us600056k3,"81 km WSW of Pyay, Myanmar",3.9,0.078,16.0,2019.0,8.0,1566098661.0,Myanmar
